CH_SERIAL_NUMBER,GEM_NUM,POSITION,CH_TYPE,FLIP,AMC,OH,FLOW_METER,RUN_NUMBER
GE1/1-X-S-INDIA-0006,2,1/1/B,S,0,4,2,5,200
GE1/1-X-S-PAK-0001,3,1/1/T,S,0,4,3,5,200
GE1/1-X-S-INDIA-0001,4,2/1/B,S,0,4,4,5,200
GE1/1-X-S-INDIA-0003,5,2/1/T,S,0,4,5,5,200
GE1/1-X-S-BARI-0003,6,3/1/B,S,0,4,6,5,200
GE1/1-X-S-BARI-0004,7,3/1/T,S,0,4,7,5,200
GE1/1-X-S-BARI-0016,10,5/1/B,S,0,4,10,5,200
GE1/1-X-S-BARI-0002,11,5/1/T,S,0,4,11,5,200
GE1/1-X-S-CERN-0009,2,1/2/B,S,0,4,4,5,200
GE1/1-X-S-CERN-0010,3,1/2/T,S,0,4,5,5,200
GE1/1-X-S-INDIA-0009,4,2/2/B,S,0,4,4,5,200
GE1/1-X-S-INDIA-0004,5,2/2/T,S,0,4,5,5,200
GE1/1-X-S-INDIA-0005,6,3/2/B,S,0,4,6,5,200
GE1/1-X-S-INDIA-0008,7,3/2/T,S,0,4,7,5,200
GE1/1-X-S-BARI-0011,9,4/2/T,S,0,4,9,5,200
GE1/1-X-S-BARI-0008,10,5/2/B,S,0,4,10,5,200
GE1/1-X-S-BARI-0013,11,5/2/T,S,0,4,11,5,200
