 GEM Strips and VFAT3 Channel Mappings ,,,,,
,,,,,
HYBRID SECTION,,SHORT READ OUT BOARD STRIPS,,,
130 Pins PANASONIC CONNECTOR PIN OUTS AXK5SA3277YG,VFAT CHANNEL NUMBERS,"Hybrid Positions 2,3,5,7,8,9,10,11,13, 15","Hybrid Positions 00,01,04,06,12,14","Hybrid Positions 16,17,20,22","Hybrid Positions 18,19,21,23"
,,Strip Numbers,Strip Numbers,Strip Numbers,Strip Numbers
3,IN0,0,63,127,64
5,IN1,1,62,126,65
7,IN4,2,61,125,66
9,IN5,3,60,124,67
11,IN8,4,59,123,68
13,IN9,5,58,122,69
15,IN12,6,57,121,70
17,IN13,7,56,120,71
19,IN16,8,55,119,72
21,IN17,9,54,118,73
23,IN20,10,53,117,74
25,IN21,11,52,116,75
27,IN24,12,51,115,76
29,IN25,13,50,114,77
31,IN28,14,49,113,78
33,IN29,15,48,112,79
35,IN32,16,47,111,80
37,IN33,17,46,110,81
39,IN36,18,45,109,82
41,IN37,19,44,108,83
43,IN40,20,43,107,84
45,IN41,21,42,106,85
47,IN44,22,41,105,86
49,IN45,23,40,104,87
51,IN48,24,39,103,88
53,IN49,25,38,102,89
55,IN52,26,37,101,90
57,IN53,27,36,100,91
59,IN56,28,35,99,92
61,IN57,29,34,98,93
63,IN60,30,33,97,94
65,IN61,31,32,96,95
67,IN64,32,31,95,96
69,IN65,33,30,94,97
71,IN68,34,29,93,98
73,IN69,35,28,92,99
75,IN72,36,27,91,100
77,IN73,37,26,90,101
79,IN76,38,25,89,102
81,IN77,39,24,88,103
83,IN80,40,23,87,104
85,IN81,41,22,86,105
87,IN84,42,21,85,106
89,IN85,43,20,84,107
91,IN88,44,19,83,108
93,IN89,45,18,82,109
95,IN92,46,17,81,110
97,IN93,47,16,80,111
99,IN96,48,15,79,112
101,IN97,49,14,78,113
103,IN100,50,13,77,114
105,IN101,51,12,76,115
107,IN104,52,11,75,116
109,IN105,53,10,74,117
111,IN108,54,9,73,118
113,IN109,55,8,72,119
115,IN112,56,7,71,120
117,IN113,57,6,70,121
119,IN116,58,5,69,122
121,IN117,59,4,68,123
123,IN120,60,3,67,124
125,IN121,61,2,66,125
127,IN124,62,1,65,126
129,IN125,63,0,64,127
,,,,,
,,,,,
2,IN2,127,64,0,63
4,IN3,126,65,1,62
6,IN6,125,66,2,61
8,IN7,124,67,3,60
10,IN10,123,68,4,59
12,IN11,122,69,5,58
14,IN14,121,70,6,57
16,IN15,120,71,7,56
18,IN18,119,72,8,55
20,IN19,118,73,9,54
22,IN22,117,74,10,53
24,IN23,116,75,11,52
26,IN26,115,76,12,51
28,IN27,114,77,13,50
30,IN30,113,78,14,49
32,IN31,112,79,15,48
34,IN34,111,80,16,47
36,IN35,110,81,17,46
38,IN38,109,82,18,45
40,IN39,108,83,19,44
42,IN42,107,84,20,43
44,IN43,106,85,21,42
46,IN46,105,86,22,41
48,IN47,104,87,23,40
50,IN50,103,88,24,39
52,IN51,102,89,25,38
54,IN54,101,90,26,37
56,IN55,100,91,27,36
58,IN58,99,92,28,35
60,IN59,98,93,29,34
62,IN62,97,94,30,33
64,IN63,96,95,31,32
66,IN66,95,96,32,31
68,IN67,94,97,33,30
70,IN70,93,98,34,29
72,IN71,92,99,35,28
74,IN74,91,100,36,27
76,IN75,90,101,37,26
78,IN78,89,102,38,25
80,IN79,88,103,39,24
82,IN82,87,104,40,23
84,IN83,86,105,41,22
86,IN86,85,106,42,21
88,IN87,84,107,43,20
90,IN90,83,108,44,19
92,IN91,82,109,45,18
94,IN94,81,110,46,17
96,IN95,80,111,47,16
98,IN98,79,112,48,15
100,IN99,78,113,49,14
102,IN102,77,114,50,13
104,IN103,76,115,51,12
106,IN106,75,116,52,11
108,IN107,74,117,53,10
110,IN110,73,118,54,9
112,IN111,72,119,55,8
114,IN114,71,120,56,7
116,IN115,70,121,57,6
118,IN118,69,122,58,5
120,IN119,68,123,59,4
122,IN122,67,124,60,3
124,IN123,66,125,61,2
126,IN126,65,126,62,1
128,IN127,64,127,63,0
